Client_ID,Age,Annual_Income_USD,Credit_Score,Debt_To_Income_Ratio,Credit_Utilization_Rate,Target_Label
10695,65,99691,551,0.29,0.66,0
10696,67,122419,611,0.11,0.56,0
10697,41,133730,751,0.17,0.89,1
10698,36,68001,581,0.33,0.4,0
10699,41,92364,731,0.37,0.11,1
10700,31,70028,726,0.32,0.07,1
10701,57,132434,732,0.39,0.79,1
10702,56,122659,720,0.43,0.52,1
10703,55,62573,541,0.11,0.75,0
10704,39,25806,520,0.36,0.26,0
10705,40,81638,541,0.63,0.36,0
10706,38,131506,612,0.39,0.08,0
10707,67,54757,604,0.47,0.92,0
10708,61,59636,691,0.27,0.65,1
10709,69,105097,516,0.53,0.89,0
10710,34,73280,619,0.53,0.29,0
10711,35,49262,628,0.39,0.6,0
10712,51,105435,629,0.64,0.66,0
10713,21,87211,559,0.17,0.34,0
10714,23,79842,547,0.11,0.81,0
10715,36,81979,528,0.52,0.9,0
10716,43,139524,596,0.54,0.85,0
10717,31,106470,509,0.17,0.72,0
10718,32,63197,741,0.25,0.3,1
10719,30,66844,813,0.11,0.3,1
10720,52,89754,731,0.26,0.92,1
10721,36,126868,776,0.53,0.06,1
10722,28,59157,783,0.38,0.69,1
10723,58,102129,702,0.29,0.69,1
10724,32,65042,746,0.3,0.61,1
10725,44,86665,789,0.1,0.94,1
10726,48,107856,763,0.26,0.33,1
10727,28,52376,713,0.46,0.36,1
10728,48,134049,699,0.64,0.12,1
10729,56,80554,578,0.57,0.45,0
10730,46,39199,842,0.11,0.28,1
10731,28,106412,843,0.59,0.36,1
10732,48,75948,672,0.53,0.8,1
10733,48,98781,568,0.53,0.89,0
10734,57,97750,586,0.35,0.22,0
10735,61,91262,600,0.32,0.39,0
10736,56,71600,507,0.27,0.89,0
10737,47,101898,832,0.14,0.11,1
10738,37,87483,699,0.23,0.13,1
10739,29,43297,586,0.24,0.2,0
10740,53,55448,542,0.37,0.59,0
10741,40,51172,608,0.51,0.19,0
10742,33,67874,651,0.36,0.92,1
10743,48,32657,516,0.13,0.45,0
10744,68,109386,632,0.63,0.5,0
10745,49,50425,647,0.62,0.27,0
10746,33,51685,776,0.53,0.47,1
10747,66,137855,731,0.65,0.65,1
10748,55,49578,813,0.4,0.73,1
10749,26,53831,727,0.63,0.73,1
10750,38,32906,638,0.14,0.57,0
10751,25,86413,710,0.3,0.86,1
10752,67,79028,527,0.22,0.79,0
10753,45,32287,550,0.21,0.73,0
10754,22,58660,760,0.18,0.1,1
10755,30,100758,760,0.44,0.06,1
10756,50,85504,849,0.53,0.24,1
10757,65,84720,507,0.42,0.65,0
10758,25,127979,819,0.18,0.42,1
10759,53,59701,637,0.55,0.41,0
10760,21,108300,537,0.45,0.85,0
10761,38,135177,610,0.31,0.86,0
10762,52,42674,719,0.47,0.87,1
10763,67,108560,836,0.24,0.33,1
10764,69,136543,722,0.29,0.67,1
10765,31,48874,635,0.6,0.29,0
10766,41,68642,755,0.26,0.22,1
10767,46,122820,828,0.36,0.22,1
10768,45,90160,548,0.59,0.36,0
10769,42,42602,791,0.49,0.44,1
10770,47,128320,823,0.13,0.8,1
10771,69,113801,577,0.18,0.16,0
10772,33,50931,604,0.1,0.71,0
10773,53,119377,668,0.45,0.53,1
10774,54,54192,716,0.35,0.31,1
10775,61,71542,618,0.17,0.49,0
10776,55,67520,689,0.63,0.32,1
10777,21,89772,754,0.39,0.59,1
10778,41,83762,765,0.23,0.44,1
10779,68,75106,648,0.38,0.2,0
10780,26,106121,663,0.47,0.15,1
10781,48,50559,639,0.14,0.54,0
10782,37,130595,846,0.25,0.86,1
10783,25,58742,757,0.54,0.36,1
10784,51,94669,768,0.35,0.71,1
10785,25,105199,680,0.4,0.64,1
10786,58,46754,659,0.34,0.89,1
10787,23,28972,787,0.12,0.79,1
10788,43,95831,787,0.19,0.56,1
10789,57,137217,725,0.35,0.64,1
10790,57,66873,510,0.22,0.86,0
10791,30,119661,509,0.13,0.41,0
10792,30,131532,770,0.56,0.34,1
10793,39,34903,772,0.64,0.06,1
10794,37,28020,682,0.54,0.79,1
10795,41,66755,652,0.57,0.77,1
10796,34,110956,814,0.23,0.14,1
10797,29,111988,833,0.63,0.57,1
10798,66,70648,623,0.21,0.47,0
10799,21,128537,613,0.62,0.16,0
10800,65,34516,777,0.65,0.93,1
10801,33,137863,712,0.49,0.24,1
10802,24,27396,671,0.64,0.11,1
10803,21,109082,787,0.41,0.59,1
10804,69,44129,673,0.24,0.71,1
10805,60,26591,612,0.34,0.08,0
10806,52,36303,621,0.43,0.64,0
10807,54,55561,531,0.14,0.53,0
10808,48,96719,721,0.44,0.14,1
10809,51,117108,618,0.64,0.21,0
10810,28,124616,538,0.2,0.56,0
10811,59,111231,767,0.54,0.32,1
10812,46,32314,732,0.6,0.89,1
10813,54,44623,517,0.62,0.79,0
10814,23,92675,648,0.63,0.94,0
10815,32,137992,648,0.39,0.28,0
10816,21,121826,625,0.64,0.92,0
10817,64,90082,801,0.52,0.44,1
10818,25,108624,737,0.19,0.36,1
10819,50,130228,634,0.36,0.1,0
10820,50,58130,650,0.5,0.1,1
10821,37,76756,735,0.24,0.67,1
10822,68,122624,723,0.45,0.46,1
10823,67,51292,702,0.47,0.25,1
10824,43,136785,755,0.19,0.6,1
10825,35,111206,585,0.41,0.28,0
10826,57,94274,649,0.52,0.57,0
10827,41,27469,734,0.37,0.37,1
10828,34,78947,844,0.11,0.79,1
10829,22,47534,521,0.1,0.79,0
10830,31,88620,847,0.3,0.48,1
10831,59,73874,784,0.61,0.37,1
10832,58,74708,768,0.23,0.38,1
10833,54,99553,757,0.45,0.78,1
10834,58,93344,528,0.22,0.35,0
10835,54,74138,712,0.28,0.24,1
10836,38,79302,782,0.57,0.13,1
10837,50,72638,549,0.5,0.47,0
10838,35,103249,594,0.15,0.48,0
10839,47,130865,587,0.34,0.81,0
10840,54,27719,543,0.12,0.25,0
10841,58,47890,777,0.36,0.39,1
10842,53,102236,670,0.46,0.78,1
10843,44,61509,688,0.17,0.79,1
10844,35,67534,683,0.26,0.4,1
10845,50,127302,502,0.32,0.46,0
10846,62,117241,690,0.61,0.32,1
10847,37,43787,617,0.65,0.89,0
10848,25,73845,518,0.12,0.16,0
10849,49,82932,522,0.52,0.89,0
10850,24,117124,529,0.3,0.67,0
10851,30,116659,794,0.32,0.53,1
10852,37,58062,607,0.51,0.08,0
10853,30,100713,780,0.61,0.48,1
10854,37,112263,627,0.62,0.42,0
10855,40,120756,728,0.42,0.2,1
10856,44,85461,610,0.3,0.64,0
10857,25,100418,635,0.53,0.92,0
10858,54,91672,685,0.24,0.56,1
10859,26,59832,643,0.41,0.69,0
10860,22,56966,571,0.3,0.11,0
10861,33,97545,628,0.46,0.43,0
10862,63,37987,760,0.23,0.15,1
10863,63,62311,502,0.21,0.6,0
10864,68,56575,603,0.61,0.89,0
10865,31,88852,723,0.16,0.65,1
10866,67,26007,819,0.38,0.12,1
10867,43,95981,509,0.22,0.37,0
10868,36,101242,801,0.12,0.55,1
10869,51,72517,730,0.12,0.41,1
10870,31,135022,718,0.2,0.8,1
10871,36,54257,565,0.58,0.78,0
10872,28,112272,611,0.26,0.6,0
10873,24,67207,512,0.62,0.39,0
10874,60,38281,585,0.42,0.28,0
10875,24,86246,733,0.34,0.15,1
10876,45,26435,589,0.42,0.37,0
10877,23,123875,813,0.38,0.42,1
10878,52,125686,553,0.52,0.66,0
10879,23,116357,511,0.26,0.64,0
10880,47,51660,708,0.29,0.11,1
10881,49,30084,513,0.59,0.41,0
10882,52,107197,620,0.62,0.21,0
10883,39,38507,519,0.59,0.19,0
10884,41,97595,574,0.33,0.79,0
10885,25,108807,742,0.53,0.09,1
10886,38,70539,722,0.36,0.43,1
10887,48,32491,569,0.37,0.2,0
10888,62,137831,811,0.21,0.84,1
10889,42,75192,710,0.43,0.55,1
10890,41,105395,600,0.2,0.26,0
10891,26,88888,685,0.28,0.5,1
10892,21,98609,631,0.57,0.71,0
10893,25,34077,610,0.21,0.91,0
10894,61,45953,631,0.14,0.25,0
10895,32,101919,519,0.14,0.85,0
10896,46,139682,523,0.62,0.89,0
10897,66,92889,726,0.38,0.87,1
10898,54,48821,653,0.33,0.62,1
10899,69,62567,792,0.55,0.62,1
10900,34,49860,729,0.56,0.41,1
10901,46,46195,809,0.28,0.73,1
10902,65,102475,701,0.48,0.53,1
10903,47,115874,537,0.52,0.66,0
10904,29,112266,759,0.46,0.44,1
10905,46,46427,687,0.18,0.71,1
10906,67,125732,556,0.58,0.79,0
10907,42,52083,519,0.4,0.18,0
10908,67,112046,772,0.26,0.8,1
10909,50,82372,618,0.33,0.54,0
10910,63,69064,570,0.12,0.81,0
10911,68,32813,503,0.17,0.44,0
10912,37,56598,720,0.52,0.39,1
10913,46,137718,513,0.1,0.87,0
10914,56,118106,502,0.33,0.28,0
10915,21,52082,715,0.39,0.81,1
10916,28,54241,728,0.13,0.49,1
10917,69,121214,835,0.64,0.51,1
10918,55,69569,685,0.22,0.33,1
10919,35,36745,554,0.27,0.57,0
10920,67,51029,753,0.27,0.34,1
10921,42,38025,523,0.23,0.09,0
10922,34,126660,661,0.1,0.29,1
10923,46,39288,657,0.5,0.06,1
10924,48,114186,581,0.63,0.93,0
10925,43,31540,658,0.22,0.92,1
10926,34,122768,687,0.46,0.41,1
10927,44,106958,559,0.51,0.71,0
10928,22,93878,804,0.57,0.36,1
10929,65,66846,818,0.33,0.65,1
10930,46,126148,710,0.27,0.77,1
10931,34,100932,651,0.28,0.9,1
10932,27,42482,608,0.49,0.41,0
10933,23,48411,575,0.55,0.75,0
10934,67,75975,529,0.2,0.29,0
10935,43,85545,813,0.3,0.94,1
10936,66,137302,616,0.6,0.07,0
10937,63,103797,691,0.54,0.59,1
10938,67,77307,518,0.64,0.64,0
10939,65,28093,672,0.51,0.67,1
10940,38,102258,727,0.32,0.16,1
10941,58,47042,849,0.42,0.89,1
10942,55,77930,682,0.46,0.21,1
10943,35,69413,612,0.14,0.61,0
10944,45,138387,682,0.4,0.25,1
10945,57,118623,645,0.49,0.33,0
10946,48,122883,818,0.19,0.54,1
10947,30,58756,615,0.53,0.43,0
10948,59,78268,612,0.42,0.19,0
10949,37,64214,750,0.62,0.2,1
10950,59,106871,750,0.12,0.43,1
10951,42,53602,802,0.25,0.73,1
10952,46,78331,812,0.43,0.86,1
10953,64,73901,617,0.26,0.13,0
10954,45,124986,800,0.49,0.4,1
10955,37,88416,660,0.52,0.14,1
10956,33,57196,697,0.16,0.06,1
10957,40,30626,759,0.38,0.65,1
10958,45,32424,647,0.38,0.59,0
10959,24,37857,739,0.3,0.2,1
10960,30,135459,546,0.61,0.26,0
10961,23,44982,697,0.56,0.07,1
10962,61,101961,546,0.48,0.8,0
10963,65,26980,577,0.49,0.93,0
10964,38,73290,623,0.35,0.17,0
10965,67,51431,574,0.61,0.26,0
10966,56,109976,636,0.48,0.83,0
10967,67,132288,589,0.5,0.88,0
10968,42,107711,824,0.57,0.43,1
10969,54,139187,560,0.25,0.1,0
10970,67,51385,637,0.54,0.09,0
10971,28,63158,549,0.21,0.57,0
10972,60,48019,758,0.29,0.4,1
10973,69,43639,606,0.28,0.08,0
10974,64,110530,612,0.64,0.57,0
10975,39,124911,849,0.57,0.06,1
10976,62,46563,753,0.49,0.76,1
10977,61,64341,617,0.5,0.33,0
10978,57,30776,697,0.41,0.09,1
10979,26,61444,836,0.62,0.58,1
10980,46,93916,550,0.37,0.41,0
10981,54,33711,744,0.31,0.93,1
10982,65,99318,534,0.19,0.54,0
10983,26,107970,801,0.53,0.3,1
10984,57,137301,568,0.5,0.69,0
10985,53,110553,848,0.31,0.29,1
10986,42,55707,819,0.11,0.86,1
10987,41,64110,548,0.56,0.39,0
10988,26,86788,573,0.11,0.54,0
10989,26,107879,691,0.49,0.1,1
10990,68,63827,760,0.63,0.43,1
10991,24,132188,569,0.34,0.8,0
10992,50,30655,589,0.23,0.78,0
10993,31,69859,759,0.49,0.25,1
10994,50,78625,625,0.55,0.25,0
10995,51,77098,730,0.4,0.79,1
10996,44,40251,794,0.63,0.89,1
10997,29,25526,628,0.13,0.14,0
10998,23,93760,779,0.38,0.46,1
10999,51,72837,812,0.5,0.35,1
11000,60,36536,599,0.57,0.83,0
